gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired,salary
M,DOT,Department of Transportation,Parking Management Parking Operations,Fulltime-Regular,Program Specialist I,03/21/2016,2016,55275.0
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016,45261.0
F,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,01/17/2006,2006,72902.0
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,01/18/2005,2005,75453.0
F,DEP,Department of Environmental Protection,Solid Waste Services Recycling,Fulltime-Regular,Program Manager I,08/22/2005,2005,74253.6
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,09/07/1997,1997,64141.0
F,FIN,Department of Finance,Accounts Payable,Fulltime-Regular,Program Manager II,10/17/1994,1994,102664.0
F,DHS,Office of Emergency Management and Homeland Security,Hazmat Permitting,Fulltime-Regular,Program Specialist I,02/14/1994,1994,76015.03
F,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer II (PFC),03/09/2015,2015,48145.0
M,DLC,Department of Liquor Control,Special Order Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician II,11/24/1998,1998,55802.0
M,DGS,Department of General Services,Facilities Major Programs,Fulltime-Regular,Energy Management Systems Technician,12/31/2000,2000,89172.6
M,DLC,Department of Liquor Control,Burtonsville,Fulltime-Regular,Liquor Store Manager,12/19/1977,1977,84974.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Depot Supply Coordinator,09/05/1989,1989,66065.23
M,HHS,Department of Health and Human Services,Fiscal Team,Fulltime-Regular,Senior Financial Specialist,11/12/2002,2002,112930.4
M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Urban District Public Service and Maintenance Team Supv,02/13/1996,1996,63937.96
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,07/14/2008,2008,72902.0
M,POL,Department of Police,PSB 3rd District Traffic Squad,Fulltime-Regular,Police Sergeant,07/17/2000,2000,103506.0
M,FIN,Department of Finance,Division of the Controller,Fulltime-Regular,Manager II,01/20/2009,2009,156525.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,08/12/2013,2013,43525.71
M,FRS,Fire and Rescue Services,Station 24,Fulltime-Regular,Firefighter/Rescuer II,02/27/2012,2012,54538.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Transit Coordinator,06/28/2004,2004,58856.63
M,DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,Fulltime-Regular,Public Service Craftsworker I,11/12/2002,2002,64141.0
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,06/18/2012,2012,54523.02
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),08/16/1999,1999,77328.0
M,FRS,Fire and Rescue Services,Station 29,Fulltime-Regular,Master Firefighter/Rescuer,07/10/1989,1989,94006.07
M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Firefighter/Rescuer III,11/03/1985,1985,88574.84
M,FRS,Fire and Rescue Services,Station 40,Fulltime-Regular,Firefighter/Rescuer III,02/27/2012,2012,57265.0
F,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer I (Private),08/08/2016,2016,44300.0
M,FRS,Fire and Rescue Services,Property and Supply,Fulltime-Regular,Messenger-Clerk,10/08/2012,2012,41897.13
F,HHS,Department of Health and Human Services,Ombudsman Services,Fulltime-Regular,Program Manager I,02/24/2014,2014,75964.69
M,DOT,Department of Transportation,Parking Management Parking Operations,Fulltime-Regular,Parking Meter Mechanic,04/16/1990,1990,66065.23
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,08/31/1998,1998,85405.0
F,FRS,Fire and Rescue Services,Station 4,Fulltime-Regular,Firefighter/Rescuer II,01/14/2013,2013,52693.0
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008,61390.5
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,02/23/2004,2004,21766.2
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Principal Administrative Aide,05/31/2016,2016,36180.0
M,DEP,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Program Specialist II,09/22/2014,2014,70718.47
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Principal Administrative Aide,07/04/2010,2010,57500.73
F,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Manager III,10/21/2002,2002,123422.86
M,COR,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Officer II,01/18/2011,2011,49104.52
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer II,07/16/2012,2012,60501.0
M,DPS,Department of Permitting Services,Site Plan Enforcement,Fulltime-Regular,Investigator III,01/11/1988,1988,105743.92
F,HHS,Department of Health and Human Services,Latino Health Initiative,Fulltime-Regular,Manager III,05/14/1990,1990,111084.31
F,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Office Services Coordinator,05/07/1973,1973,69222.18
M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Master Firefighter/Rescuer,01/12/1998,1998,97560.0
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,07/22/2002,2002,83658.0
M,FRS,Fire and Rescue Services,Technical Operations,Fulltime-Regular,Fire/Rescue Captain,08/16/1999,1999,115279.0
F,DLC,Department of Liquor Control,Downtown Rockville,Parttime-Regular,Liquor Store Clerk I,04/25/2016,2016,27805.44
M,DPS,Department of Permitting Services,Team 2 Residential Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector III,01/13/2014,2014,74099.13
M,DLC,Department of Liquor Control,Liquor and Wine Delivery Operations,Fulltime-Regular,Supply Technician II,05/04/2015,2015,35134.11
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician II,11/06/2008,2008,37636.05
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),07/09/2007,2007,62903.0
M,DOT,Department of Transportation,Parking Management Administration,Fulltime-Regular,Planning Specialist III,01/14/2013,2013,64506.79
F,POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer I,08/31/1981,1981,66065.23
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,11/26/2012,2012,45049.12
F,POL,Department of Police,ISB Family Crimes Division Family Outreach Section,Fulltime-Regular,Police Officer III,01/14/2002,2002,83658.0
F,HHS,Department of Health and Human Services,Disease Control,Fulltime-Regular,Community Health Nurse II,05/12/2008,2008,95019.08
M,OIG,Office of the Inspector General,Inspector General Staff,Fulltime-Regular,Assistant Inspector General III,12/05/2011,2011,109727.59
M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer II (PFC),09/02/2008,2008,55251.0
M,POL,Department of Police,PSB 1st District Special Assignment Team,Fulltime-Regular,Police Officer III,01/14/2002,2002,89620.0
F,DEP,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Office Services Coordinator,09/06/2005,2005,54500.13
M,POL,Department of Police,PSB 4th District Special Assignment Team,Fulltime-Regular,Police Officer III,07/18/2011,2011,65752.0
F,LIB,Department of Public Libraries,Virtual Services,Fulltime-Regular,Program Manager I,04/03/2006,2006,71929.07
F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Parttime-Regular,Social Worker III,12/06/1999,1999,48956.0
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer II,01/28/2013,2013,58455.0
M,DOT,Department of Transportation,Transportation Technical Center,Fulltime-Regular,Transportation Systems Technician II,07/07/1997,1997,66833.11
F,IGR,Office of Intergovernmental Relations Department,Office of Intergovernmental Relations,Parttime-Regular,Intergovernmental Relations Legislative Analyst,10/31/2005,2005,94720.0
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Supervisor,01/23/1995,1995,93396.0
M,DLC,Department of Liquor Control,"Licensure, Regulation and Education",Fulltime-Regular,Alcohol/Tobacco Enforcement Specialist II,10/26/2009,2009,75241.76
M,POL,Department of Police,PSB 3rd District Community Action Team,Fulltime-Regular,Police Officer III,07/15/2002,2002,89620.0
M,HHS,Department of Health and Human Services,Access to Behavioral Health Services,Fulltime-Regular,Manager III,08/06/1990,1990,134504.29
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014,50910.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,09/20/2004,2004,52110.67
M,DLC,Department of Liquor Control,Cloverly,Parttime-Regular,Liquor Store Clerk I,09/25/2011,2011,29779.07
F,DEP,Department of Environmental Protection,Management Services,Fulltime-Regular,Senior Executive Administrative Aide,10/01/2007,2007,69095.92
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,09/27/1993,1993,66065.23
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,12/09/2002,2002,56689.66
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Executive Administrative Aide,04/17/1996,1996,70422.0
M,FRS,Fire and Rescue Services,Station 34,Fulltime-Regular,Fire/Rescue Lieutenant,08/02/1987,1987,104717.6
M,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Housing Code Inspector III,09/16/1985,1985,96197.88
M,HHS,Department of Health and Human Services,Budget Team,Fulltime-Regular,Management and Budget Specialist III,02/27/2012,2012,102664.0
M,HHS,Department of Health and Human Services,Montgomery Cares,Fulltime-Regular,Administrative Specialist III,01/08/2007,2007,93396.0
M,FRS,Fire and Rescue Services,Second Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,11/17/1997,1997,99792.0
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,06/30/2014,2014,60559.39
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,02/13/2012,2012,54402.73
F,FIN,Department of Finance,Management and Operations - Director,Fulltime-Regular,Manager III,04/16/1979,1979,135378.13
M,DLC,Department of Liquor Control,Wheaton,Parttime-Regular,Liquor Store Clerk I,05/20/2012,2012,29779.07
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Public Service Craftsworker,04/28/2008,2008,56424.05
M,SHF,Sheriff's Office,Warrant Section,Fulltime-Regular,Deputy Sheriff III,01/17/2006,2006,69475.0
F,CAT,County Attorney's Office,Human Resources and Appeals,Fulltime-Regular,Assistant County Attorney III,01/24/2005,2005,140794.0
M,DPS,Department of Permitting Services,Fire Code Compliance,Fulltime-Regular,Engineer III,10/30/2006,2006,102664.0
F,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,10/06/2014,2014,53788.0
F,DOT,Department of Transportation,Director Management Services,Fulltime-Regular,Senior Engineer,09/10/1990,1990,116285.97
F,LIB,Department of Public Libraries,Cataloging and Preparation,Fulltime-Regular,Library Technician,09/19/1977,1977,60201.44
F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer I,10/06/2014,2014,53788.0
M,DPS,Department of Permitting Services,Zoning and Site Plan Enforcement,Fulltime-Regular,Manager II,12/11/2006,2006,151937.78
M,CUS,Community Use of Public Facilities,Scheduling Team,Fulltime-Regular,Program Specialist I,09/08/2015,2015,63315.0
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,11/01/2005,2005,61035.5
M,FRS,Fire and Rescue Services,Station 21,Fulltime-Regular,Firefighter/Rescuer III,10/17/2005,2005,70396.0
M,SHF,Sheriff's Office,Warrant Section,Fulltime-Regular,Deputy Sheriff II,08/12/2013,2013,56580.0
M,DGS,Department of General Services,Property Management,Fulltime-Regular,Property Manager II,05/07/1990,1990,99870.24
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator III,08/13/1984,1984,69222.18
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator III,05/14/1994,1994,69222.18
F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Therapist I,02/08/2016,2016,56387.0
F,CCL,County Council,Council Members and Staff,Fulltime-Regular,Legislative Senior Aide II,05/17/2004,2004,80203.42
F,HCA,Department of Housing and Community Affairs,Finance and Administration Division,Fulltime-Regular,Office Services Coordinator,07/25/1993,1993,69222.18
F,DOT,Department of Transportation,Transit Safety and Instruction,Fulltime-Regular,Safety and Training Instructor,09/19/2016,2016,58000.0
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Equipment Maintenance Crew Chief,10/14/1997,1997,81381.07
M,DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,Fulltime-Regular,Public Service Worker II,02/09/2003,2003,45892.46
F,HHS,Department of Health and Human Services,Care Coordination,Fulltime-Regular,Community Health Nurse II,10/16/2006,2006,92256.44
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Master Police Officer,07/22/2002,2002,87841.0
M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Shift Commander (Lieutenant),06/19/2000,2000,97278.64
F,POL,Department of Police,MSB Management and Budget Division,Fulltime-Regular,Fiscal Assistant,01/03/2012,2012,43850.22
M,HHS,Department of Health and Human Services,Adult Drug Court,Fulltime-Regular,Therapist I,07/11/2016,2016,56387.0
M,FRS,Fire and Rescue Services,Station 33,Fulltime-Regular,Firefighter/Rescuer II,06/01/2010,2010,50910.0
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,08/18/2014,2014,42053.83
F,HHS,Department of Health and Human Services,Community Action Agency,Fulltime-Regular,Program Manager II,09/06/2016,2016,89000.0
F,HHS,Department of Health and Human Services,Head Start/Pre-K (Health),Parttime-Regular,Community Health Nurse II,01/22/2008,2008,65183.22
M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),04/17/2006,2006,65105.0
F,DEP,Department of Environmental Protection,Solid Waste Services Administration,Fulltime-Regular,Information Technology Specialist II,01/28/2002,2002,93396.0
F,OMB,Office of Management and Budget,Operating Budget Management,Fulltime-Regular,Management and Budget Specialist III,09/08/2003,2003,90125.22
M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Urban District Public Service Aide,11/22/2006,2006,40858.79
F,DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Management and Budget Specialist III,08/25/1989,1989,104717.28
